;Timestamp;ML;IR;Stat;DB;Gender;Chocolate;Stand up;Rand;Bedtime;Good day (1);Good day (2);Stress level;Program;Day;Month;Year;Neighbours;Money
164;4/1/2019 16:01:52;unknown;unknown;unknown;unknown;unknown;unknown;unknown;x;x;x;x;x;X;;;;3.0;10.0
165;4/1/2019 16:01:52;no;0;mu;nee;female;I have no idea what you are talking about;no;5;2 am;Llamas;Pungent paws;78;AI;6.0;3.0;;469.0;0.21
166;4/1/2019 16:01:53;no;0;unknown;ja;female;fat;yes;84;2300;Enough sleep the night before;A sunny day;50;BIOINFORMATICS;5.0;1.0;1996.0;250.0;10.0
167;4/1/2019 16:01:53;yes;1;mu;nee;unknown;neither;no;9;10;food;drinks;50;BIOSB;8.0;7.0;1985.0;4.0;30.0
168;4/1/2019 16:01:53;yes;1;mu;nee;male;I have no idea what you are talking about;no;2;00:30;Nice weather;Good food;80;AI;4.0;4.0;1995.0;5.0;100.0
169;4/1/2019 16:01:53;no;0;mu;nee;male;I have no idea what you are talking about;no;7;00:30;Good weather;Being drunk;10;CS;11.0;11.0;1995.0;8.0;99.0
170;4/1/2019 16:01:53;yes;0;unknown;ja;male;I have no idea what you are talking about;no;8;0,3;Weed;Sex;75;BIOINFORMATICS;19.0;12.0;1992.0;20.0;90.0
171;4/1/2019 16:01:53;no;0;sigma;nee;male;fat;no;2;11:18;Small things that go right ;Happy people;80;MASTER MANAGEMENT, POLICY ANALYSIS AND ENTREPENEURSHIP IN HEALTH AND LIFE SCIENCES;10.0;8.0;1996.0;0.0;30.0
172;4/1/2019 16:01:56;no;0;mu;nee;male;fat;yes;22/7;2pm;Being at the VU;Living at the VU;50;CS;13.0;7.0;1995.0;8.0;100.0
173;4/1/2019 16:01:54;yes;0;mu;nee;male;I have no idea what you are talking about;yes;7;0800;Gf;Weed;60;AI;22.0;9.0;1993.0;22.0;100.0
174;4/1/2019 16:01:55;no;0;mu;nee;male;I have no idea what you are talking about;no;7;12;food;dog;70;CS;2.0;4.0;;4.0;10.0
175;4/1/2019 16:01:55;yes;1;mu;ja;male;fat;no;8;23:00;Sex;No school;75;BA;15.0;10.0;1993.0;1.0;50.0
176;4/1/2019 16:01:55;no;0;mu;nee;male;neither;no;12;22:30;Slept well;Ate well;0;DHPQRM;22.0;11.0;1993.0;5.0;0.21
177;4/1/2019 16:01:55;yes;0;sigma;ja;male;I have no idea what you are talking about;no;4;23:00;Sun light;Warm weather;42;CS;4.0;12.0;;2.0;7.0
178;4/1/2019 16:01:55;yes;1;mu;ja;male;I have no idea what you are talking about;no;7;24:00;Nice food;Data mining lectures;5;AI;23.0;1.0;1996.0;6.0;40.0
179;4/1/2019 16:01:55;yes;0;mu;nee;female;fat;no;7;22;good night of sleep;working out;50;BIOINFORMATICS;30.0;7.0;1992.0;8.0;1.0
180;4/1/2019 16:01:55;yes;0;mu;nee;male;fat;no;2;23;Coffee;Sun;25;BIOINFORMATICS;10.0;4.0;;9.0;5.0
181;4/1/2019 16:01:56;no;0;unknown;nee;unknown;fat;unknown;7;00:15;Sunny ;Free of work;75;QRM;2.0;9.0;1993.0;4.0;100.0
182;4/1/2019 16:01:56;yes;1;mu;nee;female;fat;no;9;22:30;Nice weather ;friends ;5;AI;7.0;10.0;1993.0;2.0;0.25
183;4/1/2019 16:01:56;no;1;mu;ja;male;I have no idea what you are talking about;no;6;12;Sun;-;42;INFORMATION SCIENCES ;4.0;3.0;;1.0;42.0
184;4/1/2019 16:01:56;no;0;mu;ja;male;fat;no;1;23;Sun ;Day drinking ;15;CS;13.0;1.0;1994.0;5.0;10.0
185;4/1/2019 16:01:57;no;0;mu;nee;female;slim;no;4;23:30;Coffee;Sunshine;80;ECONOMETRICS;15.0;6.0;1996.0;2.0;10.0
186;4/1/2019 16:01:57;no;0;mu;nee;female;neither;no;8;1:30;chilling;sun;70;AI;23.0;3.0;1994.0;5.0;2.0
187;4/1/2019 16:01:57;yes;1;mu;ja;male;fat;no;2;23:30;Music;Books;26;BIOINFORMATICS;28.0;12.0;1993.0;5.0;10.0
188;4/1/2019 16:01:57;yes;0;mu;ja;male;neither;no;42;01:30;Sex;Eating out;65;CS (EXCHANGE);1.0;9.0;1995.0;3.0;0.25
189;4/1/2019 16:01:57;no;0;sigma;ja;male;neither;no;3;0300;Waking up energized;Fun things planned;9001;AI;16.0;2.0;1990.0;5.0;0.1
190;4/1/2019 16:01:57;yes;0;mu;ja;male;neither;no;3;0;Sun;Feyenoord;5;ECONOMETRICS;25.0;12.0;1995.0;1.0;10.0
191;4/1/2019 16:01:57;no;1;mu;nee;unknown;neither;yes;💯;ONWAAR;Weather;😎;Epsilon;CLSJD;4.0;12.0;;3.0;100.0
192;4/1/2019 16:01:58;yes;0;mu;ja;male;I have no idea what you are talking about;no;6;7;Sun;Round;92;BA;24.0;12.0;1993.0;0.0;220.0
193;4/1/2019 16:01:58;no;0;sigma;ja;female;fat;no;11;2;sunny day;positive mood;50;ECONOMETRICS;30.0;12.0;1992.0;5.0;10.0
194;4/1/2019 16:01:58;yes;1;mu;ja;unknown;I have no idea what you are talking about;no;9,76;23:30;Sun;Sleep;10;AI;19.0;2.0;1996.0;2.0;1.0
195;4/1/2019 16:01:58;yes;1;mu;nee;female;neither;no;4;23:00;Sun;Dinner;80;AI;23.0;9.0;1996.0;2.0;5.0
196;4/1/2019 16:01:58;no;0;mu;ja;male;I have no idea what you are talking about;no;7;5am;peace everywhere;don't know;100;BIOINFORMATICS;20.0;9.0;1987.0;1.0;25.0
197;4/1/2019 16:01:58;yes;1;mu;ja;male;slim;yes;4;23:30;Sunny weather;Sports activity;30;AI;4.0;4.0;1995.0;2.0;1.0
198;4/1/2019 16:01:59;yes;1;mu;nee;male;fat;no;9;02:30;Food;Waking up on time;20;AI;3.0;6.0;;1.0;5.0
199;4/1/2019 16:01:59;no;1;unknown;ja;male;neither;no;6;00:25;Extra hours of sleep;Empty to do list ;1;CS;15.0;6.0;1993.0;350.0;120.0
200;4/1/2019 16:02:00;yes;1;mu;ja;male;unknown;no;3;03:00;¯\_(ツ)_/¯;¯\_(ツ)_/¯;9001;AI;;;1969.0;8.0;100.0
201;4/1/2019 16:02:00;yes;0;mu;ja;female;I have no idea what you are talking about;no;9;23u;The sun;Soccer;20;BA;25.0;3.0;;2.0;80.0
202;4/1/2019 16:02:00;yes;0;mu;nee;female;neither;no;9;00:00;Sunny;Not working;30;MA LANGUAGE TECHNOLOGY;19.0;4.0;;6.0;80.0
